"gene","protein_class","molecular_action","key_substrates","subcellular","tissues","cell_types","pathways","ko_phenotype","ko_severity","neural_phenotype","cerebellar_evidence","cancer_types","cancer_role","neuro_disease","differentiation_role","one_line_summary"
"Elk3","transcription factor","ETS transcriptional repressor/activator; ternary complex factor; RAS-ERK effector","SRF; serum response element; ETS motifs; target gene promoters","nucleus","ubiquitous; brain","endothelial cells; T cells; cancer cells; neurons","RAS-MEK-ERK signaling; serum response; angiogenesis; EMT; cell cycle control","impaired angiogenesis (endothelial-specific KO); reduced VEGF-driven vascular responses","moderate","expressed in glioma; promotes glioma angiogenesis and progression","none specific","glioma; GBM; prostate cancer; TNBC; ovarian cancer; OSCC","oncogenic (promotes proliferation, angiogenesis, chemoresistance, EMT in multiple cancers)","none specific","promotes cell cycle progression downstream of ERK in proliferating progenitors","ETS family ternary complex factor that activates or represses transcription downstream of RAS-ERK; promotes angiogenesis and EMT; oncogenic in glioma, prostate, and TNBC"
"Entpd4","enzyme","NTPDase; nucleoside triphosphate and diphosphate hydrolysis","UTP; TTP; CTP; GTP; GDP; UDP; CDP (not ADP/ATP for isoform 1)","Golgi; lysosomes; intracellular membranes","ubiquitous","all cell types; neurons","nucleotide recycling in protein glycosylation; purinergic signaling regulation; lysosomal nucleotide metabolism","unknown (KO not well characterized in vivo)","unknown","expressed in brain; methamphetamine/PCP-reactive in rat brain","chromosome 8p21.3 locus relevant to brain","gastric cancer (via circATXN7/miR-4319/ENTPD4 axis)","regulated tumor suppressor target of oncomiR networks","none specific","nucleotide homeostasis supporting proliferative metabolism; glycosylation fidelity","Intracellular NTPDase4 hydrolyzing nucleotide di/triphosphates in Golgi and lysosomes to recycle nucleotides for glycosylation; regulated by oncomiR networks in gastric cancer"
"Epcam","adhesion molecule","homophilic cell adhesion; regulated intramembrane proteolysis; signaling scaffold","claudin-7; FHL2; EpICD nuclear complex; FABP5; MYC; cyclin A/E","plasma membrane; nucleus (EpICD fragment)","epithelium; intestine; liver progenitors; embryonic stem cells","epithelial cells; stem/progenitor cells; tumor-initiating cells","Wnt signaling; MYC/cyclin upregulation; stem cell self-renewal; epithelial identity","intestinal barrier defect (congenital tufting enteropathy); impaired stem cell proliferation","severe (intestinal)","not expressed in normal neurons; marker of neuroepithelial progenitors","none specific","colorectal cancer; breast; lung; liver; prostate; gastric; pan-carcinoma marker","oncogenic (promotes proliferation, stem cell maintenance, metastasis); marks CSCs","congenital tufting enteropathy","promotes stem/progenitor cell proliferation and self-renewal; upregulates MYC and cyclins","Epithelial cell adhesion and signaling molecule that undergoes regulated intramembrane proteolysis to release EpICD nuclear fragment activating MYC and cyclin A/E; marks carcinoma cells and cancer stem cells"
"Erap1","protease","ER aminopeptidase; MHC-I peptide trimmer; antigen processing","HLA class I-binding peptide precursors (9-16 mers); angiotensin II; bradykinin precursors","ER lumen","ubiquitous; immune; kidney","antigen-presenting cells; keratinocytes; endothelial cells","MHC class I antigen presentation; peptide trimming; immune surveillance; blood pressure regulation","altered MHC-I peptidome; increased susceptibility to immunotherapy","moderate","expressed broadly; ERAP1 inhibition sensitizes neuroblastoma to immunotherapy","medulloblastoma (HH-MB): ERAP1 is a HH pathway regulator","neuroblastoma; lung cancer; prostate cancer; medulloblastoma","context-dependent (loss sensitizes to ICB; active promotes immune evasion in some tumors); HH pathway regulator in medulloblastoma","psoriasis; Behcet's disease; ankylosing spondylitis; autoimmune diseases","trims peptides in proliferating cells for MHC-I loading; modulates HH pathway activity","ER aminopeptidase that trims peptide precursors for MHC class I loading; loss sensitizes tumors to immune checkpoint blockade; regulates Hedgehog signaling in medulloblastoma"
"Erf","transcription factor","ETS transcriptional repressor; RAS-MEK-ERK effector; ERK nuclear export regulator","ETS/SRF binding sites; Ets2 promoter H1 element; RAS-ERK target genes","nucleus (ERK-regulated export)","ubiquitous; placenta; cranial sutures","trophoblast stem cells; fibroblasts; cranial suture cells","RAS-MEK-ERK downstream repression; cell proliferation/differentiation balance; trophoblast differentiation; craniosynostosis","craniosynostosis (haploinsufficiency); extraembryonic ectoderm defects; chorioallantoic attachment failure; Noonan-like syndrome","moderate-severe","ERK-regulated nuclear repressor; broadly expressed in brain","none specific","none specific (broadly relevant ETS repressor)","indirect cancer relevance as RAS-ERK output repressor","Noonan-like syndrome with craniosynostosis (ERF haploinsufficiency/truncation)","represses RAS target genes to restrain proliferation; nuclear export by ERK relieves repression","ETS transcriptional repressor downstream of RAS-MEK-ERK that restrains proliferation; haploinsufficiency causes craniosynostosis and Noonan-like syndrome; nuclear localization inversely proportional to ERK activity"
"Ermp1","protease","ER transmembrane metallopeptidase; UPR component; oxidative stress responder","unknown ER luminal substrates; involved in follicle organization","ER membrane","ovary; kidney; breast; colon; liver","oocytes; somatic follicle cells; epithelial cancer cells; renal cells","ER stress/UPR response; oxidative stress response; ovarian folliculogenesis; mTOR/AKT signaling","impaired ovarian follicle organization (KO mice); reduced oocyte integrity","moderate (reproductive)","none reported","none reported","breast cancer; colorectal cancer; endometrial cancer; liver cancer; renal cancer","oncogenic (promotes proliferation and progression in multiple cancers; broadly expressed in carcinomas)","none specific","active in proliferating progenitors under ER stress; supports cell survival during rapid growth","ER transmembrane metallopeptidase required for ovarian follicle organization; broadly upregulated in carcinomas; promotes cancer cell proliferation via AKT/mTOR and oxidative stress response"
"Esrp2","other","RNA splicing factor; epithelial isoform regulator","FGFR2 pre-mRNA; CD44; CTNND1; ENAH; liver-specific mRNAs","nucleus","liver; epithelium; prostate; kidney","hepatocytes; epithelial cells; liver progenitors","alternative splicing of FGFR2-IIIb vs IIIc; EMT splicing program; liver maturation; hepatocyte polyploidy","fetal-like splicing pattern retention; impaired liver maturation and polyploidization; orofacial clefting","moderate","none reported","none reported","HCC; breast cancer; prostate cancer; ccRCC","tumor suppressor (silenced in HCC and cancer; loss leads to fetal splicing reversion and tumor progression)","orofacial cleft (ESRP1/2 disruption)","drives epithelial splicing program switch during postnatal differentiation; suppresses fetal/proliferative isoforms","RNA-binding protein that enforces epithelial alternative splicing (notably FGFR2-IIIb); silenced in HCC/cancer to reactivate fetal splicing programs; regulates liver polyploidization and maturation"
"Etl4","other","large scaffold protein (KIAA1217); potential fusion partner in chromosomal rearrangements","unknown","cytoplasm; nucleus (inferred)","brain; liver; lung; broad","neurons; hepatocytes; cancer cells","RET signaling (as fusion partner); miR-603 host gene; unknown scaffold functions","unknown (KO not characterized)","unknown","highly expressed in brain; hosts miR-603 (AD-associated intronic miRNA); involved in neuronal processes","none specific","lung adenocarcinoma (KIAA1217-RET fusion); HCC (metastasis); OSCC; renal cancer","oncogenic as RET fusion partner in NSCLC; promotes HCC metastasis; overexpressed in OSCC","Alzheimer's disease (via intronic miR-603 which modulates AD risk)","broadly expressed during neural development; unknown proliferative role","Large scaffold protein (KIAA1217/ETL4) that acts as RET fusion partner in lung adenocarcinoma; hosts AD-associated intronic miR-603; promotes HCC metastasis; familial temporal lobe epilepsy locus (ETL)"
"Fam108b","enzyme","serine hydrolase/depalmitoylase (ABHD17B); acyl-protein thioesterase","palmitoylated proteins (including NRAS, ASCT2)","plasma membrane; cytoplasm","brain; ubiquitous","neurons; cancer cells; hepatic stellate cells","protein depalmitoylation; RAS membrane cycling; glutamine metabolism; lipid modification","impaired NRAS membrane association; altered RAS signaling","mild (inferred)","expressed in brain; involved in neuronal palmitoylation cycling","none specific","AML; ALS (biomarker); HCC (liver fibrosis context)","regulates NRAS membrane localization and oncogenic signaling via depalmitoylation","ALS (blood biomarker candidate)","modulates palmitoylation cycling of proliferative RAS signaling","Serine hydrolase/depalmitoylase (ABHD17B family) that removes palmitate from NRAS and other substrates to regulate membrane association and RAS oncogenic signaling"
"Fam129a","other","scaffold/stress-response protein; anti-apoptotic adaptor; AKT/mTOR pathway activator","AKT; mTOR; MMP2; Cyclin D1 (downstream targets)","cytoplasm","kidney; thyroid; brain; lung; liver","renal cells; thyroid cells; glioma cells; lung cancer cells","AKT/mTOR signaling; autophagy regulation; anti-apoptosis; cell migration; ER stress response","not well characterized in vivo (KO not reported)","unknown","highly expressed in GSCs (glioma stem cells); promotes GSC invasion","none specific","glioblastoma; NSCLC; thyroid cancer; esophageal cancer; colorectal cancer; bladder cancer","oncogenic (promotes invasion, proliferation, survival in multiple cancers; upregulates Cyclin D1/MMP2 via AKT/mTOR)","none specific","promotes anti-apoptotic and pro-proliferative signaling in progenitor/stem cells","Stress-response scaffold protein (NIBAN/FAM129A) that activates AKT/mTOR to upregulate Cyclin D1 and MMP2; promotes glioma stem cell invasion and survival; regulated by nutrient deprivation and autophagy"
"Fam129b","scaffold/adaptor","Inhibits RasGAP activity by binding Ras after EGFR-mediated Y593 phosphorylation; activates NRF2; suppresses TNFα-induced apoptosis","Ras, NRF2, EGFR","cytoplasm, plasma membrane","ubiquitous; high in melanoma, lung, liver","epithelial cells, cancer cells","MAPK/ERK, NRF2/antioxidant, Ras-MAPK, Wnt/β-catenin","Fam129b-null mice viable; mild immune phenotype; no severe developmental defects","low","none reported","none reported","melanoma, lung, breast, liver, TNBC","oncogenic; promotes invasion, metastasis, NRF2-dependent survival; overexpressed in multiple cancers","none","limited; expressed in proliferating cells; downregulated during differentiation","MINERVA/FAM129B scaffold inhibits RasGAP and activates NRF2 to promote cancer invasion and MAPK-driven proliferation"
"Fam3c","secreted factor","Cytokine-like secreted ligand; activates LIFR; induces EMT via STAT3 and TGFβ pathway; promotes invasion and metastasis","LIFR, STAT3, TGFβ pathway effectors","extracellular, secreted","widely expressed; inner ear, retina, intestine","epithelial cells, neurons, cancer cells","JAK-STAT, TGFβ/EMT, LIFR signaling","retinal lamination defects; inner ear expression essential; loss linked to hearing loss (DFNB17)","moderate","hearing loss (DFNB17 locus); retinal defects","expressed in inner ear neurons and retina; role in laminar formation","gastric cancer, breast cancer, lung cancer, glioma","oncogenic; promotes EMT, invasion, metastasis; upregulated in multiple cancers","hereditary hearing loss (DFNB17)","promotes EMT, suppresses epithelial differentiation","Secreted cytokine-like ILEI/FAM3C induces EMT and promotes metastasis across cancers via LIFR-STAT3 signaling"
